16.14.46: --- STARTED TO LOGGING ---

16.14.46: [SUCCESS] Found FFmpeg.exe Path: [C:\\ffmpeg\\bin\\ffmpeg.exe]

16.14.46: [SUCCESS] Found FFprobe.exe Path: [C:\\ffmpeg\\bin\\ffprobe.exe]

16.14.46: [SUCCESS] Input videoPath is: [C:\\Users\\atlasfirarda\\Downloads\\dummy-audio.mp4]

16.14.46: [SUCCESS] Input videoFormat is: [mp4]

16.14.47: [SUCCESS] Input videoCodec is: [vp9]

16.14.47: [SUCCESS] Input videoMethod is: [veryfast]

16.14.47: [SUCCESS] Convert videoFormat is: [mp3]

16.14.47: [SUCCESS] Convert videoCodec is: [libmp3lame]

16.14.47: [SUCCESS] Convert videoMethod is: [veryfast]
